day,June,July,August,September,October,November,December,January,February,March
1,15,2,3,26,0,10.5,0,0,0,0
2,7.25,4,5,21.6,18,11.5,8.8,0,0,0
3,7.3,2,10,15.5,0,8.6,10.4,0,0,6
4,15,0,0,20.7,0,29.5,5,0,0,0
5,25,0,17,10,8,3.6,0,0,0,0
6,17,0,28,9,0,8.7,30,0,5,0
7,20,0,0,11,8,0,15,0,0,0
8,10,0,20,0,5,2.2,15,0,10,13
9,15,0,10,0,5,8.8,0,0,14.5,
10,3,0,25,34,0,20.7,0,0,0,7
11,0.5,0,7,0,11,5.1,4.5,4.5,0,0
12,5,0,0,0,10,42,40,0.5,9.2,0
13,10,0,0,0,4,10,7.7,0,0,0
14,20,0,11.5,0,5.5,0,3,0,0,0
15,35,0,11.5,0,12,4.2,3.4,10,0,0
16,15,0,12.5,7,0,0,0.5,0,0,0
17,10,0,11.5,14.5,4.5,42,10.1,0,0,0
18,5,0,6.5,0,0,15,0,7.5,0,0
19,20,0,0,0,8,4.5,0,19,0,30
20,11,0,19.7,0,19.5,0,0,38,0,0
21,7,0,5.5,0,14.5,0,13,8,0,0
22,15,23,7.5,0,12.5,17.8,0,1,0,2
23,7,3,2,20.7,18.5,0,0,0,0,16
24,2.5,6.9,0,0,7.9,0,0,0,0,1
25,6.5,9.5,2.3,5.5,16.7,8,0,0,0,0
26,0,2.1,3,31,12,0,0,0,0,0
27,0,0,2,0,6,44.1,16.5,0,0,0
28,4.2,2.5,4,0,1.1,0,0,0,0,0
29,28.7,0,6,0,7.5,2,0,0,0,0
30,14,2,10,0,9.5,0,0,0,,0
31,,30,15,,7.5,,0,0,,0
